Unnamed: 0,Unnamed: 1,Name,Username,Profile ID,Date,Likes,Comment,User Verified,Thumbnail,Comment ID,Profile URL,Comment URL
11,,adifz_,adifz_,312790559,2026-06-19 08:31:28,0,La kalo siswanya libur siapa yg di kasih makan ? 😂,no,https://instagram.fiev25-2.fna.fbcdn.net/v/t51.82787-19/625664918_18555691012022560_1915831566406141389_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDI0LmMyIn0&_nc_ht=instagram.fiev25-2.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=ixz24sRe_-gQ7kNvwEUDLdr&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af-xK7b1plOpPw03wAi0APlCqpiov5XMOgWnojDZ_n5uaw&oe=6A3EFD7C&_nc_sid=0985b0,17945178504209842,https://www.instagram.com/adifz_,https://www.instagram.com/p/DZvxCr_zUGG/c/17945178504209842
12,,rahmatdians288,rahmatdians288,1092011776,2026-06-19 08:33:12,0,Uh pengusaha kelaparan,no,https://instagram.fiev25-2.fna.fbcdn.net/v/t51.2885-19/414265409_599499042317143_3770902778124496400_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=B5fLu1B00rUQ7kNvwEvnHOi&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af886q5zofGjk7F-l_u9n7Z1XmYJ5hSKB5_Hut1VswYNHg&oe=6A3F097B&_nc_sid=0985b0,18087957338627985,https://www.instagram.com/rahmatdians288,https://www.instagram.com/p/DZvxCr_zUGG/c/18087957338627985
13,,gilangben,gilangben,2236979022,2026-06-19 08:33:19,0,Terbukti MBG itu urusan siapa hahahaha,no,https://instagram.fiev25-1.fna.fbcdn.net/v/t51.2885-19/482521638_1390286325494270_8203643839809401224_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=sjFumXYHYUYQ7kNvwGfrXrc&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af9BqNBAubLIt1XR8gPq3kPXJ3UQWfTivfwlFOqVlHl8jw&oe=6A3EEEDE&_nc_sid=0985b0,18105954545046625,https://www.instagram.com/gilangben,https://www.instagram.com/p/DZvxCr_zUGG/c/18105954545046625
14,,yrvl4h.r12_4nl,yrvl4h.r12_4nl,2284119209,2026-06-19 08:40:33,0,OPM ➡️ Organisasi Pengusaha Mbg. Semoga ga gunakan garpu dan ompreng sebagai senjata dan tameng 😢😮,no,https://instagram.fiev25-1.fna.fbcdn.net/v/t51.82787-19/645512577_18513531997079210_6881631659735500410_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=Jxe3CfvWY3oQ7kNvwEAMrvB&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af-fvXt3YwlY_Hg1p_945cXF0WSHTZXkt2Emlnf4UVqBvQ&oe=6A3F05C1&_nc_sid=0985b0,17882433342665023,https://www.instagram.com/yrvl4h.r12_4nl,https://www.instagram.com/p/DZvxCr_zUGG/c/17882433342665023
15,,aldo.noviardo,aldo.noviardo,66412234964,2026-06-19 08:44:11,0,Anjink Kelaparan memang kasihan ya😂,no,https://instagram.fiev25-2.fna.fbcdn.net/v/t51.2885-19/449618189_1590572414837291_6664438813226232177_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44OTMuYzIifQ&_nc_ht=instagram.fiev25-2.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=6UhIq9FswTgQ7kNvwExS28H&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af_d9H6NB3KjZSq_oz1RaZYSXyZj7gbUxay4FZkczEXN9w&oe=6A3F120F&_nc_sid=0985b0,17897106606467106,https://www.instagram.com/aldo.noviardo,https://www.instagram.com/p/DZvxCr_zUGG/c/17897106606467106
16,,erwin.bomz,erwin.bomz,1348602938,2026-06-19 08:48:03,0,Sampai disini paham..?😂,no,https://instagram.fiev25-2.fna.fbcdn.net/v/t51.82787-19/695760339_18586309180058939_7089424016739943134_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-2.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=iHst1W9-55MQ7kNvwH-CetW&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af-YArgYtZR_QsT1qxnr-k2OYFBp-VWgJxE1rIuvBJuW2A&oe=6A3F0D3E&_nc_sid=0985b0,18134870338574365,https://www.instagram.com/erwin.bomz,https://www.instagram.com/p/DZvxCr_zUGG/c/18134870338574365
17,,jawir_maniak,jawir_maniak,1651404525,2026-06-19 09:09:17,0,Blok dan peko,no,https://instagram.fiev25-1.fna.fbcdn.net/v/t51.82787-19/657607693_18581230486012526_341134312866673920_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=eisp1M052F0Q7kNvwEb_GiR&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af91NLAXqASjZte0YAT1a5d85UkER2jzxuZKeTbnLcTy8g&oe=6A3EE454&_nc_sid=0985b0,18381334966162922,https://www.instagram.com/jawir_maniak,https://www.instagram.com/p/DZvxCr_zUGG/c/18381334966162922
18,,20000201a,20000201a,47689250115,2026-06-19 09:25:07,0,"Bawa aja kepengadilan, toh Hakim kalian suap juga kan..",no,https://scontent-otp1-1.cdninstagram.com/v/t51.2885-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-jpg_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=scontent-otp1-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2gF7JSbqiXH2iCyzVoaDS9x0oZ_7UUp7MaqnDKjYkQ5cmtg-rffw0Rq0hU47QwYjH5XiK3afyLDfbKtEdvkZPxqg&_nc_ohc=VJDnbVufDA8Q7kNvwEae5Ke&_nc_gid=nnlK94f_NYQIu96GnIuslg&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_Af-KlYTV77BHFq3UfaP--y5sLbFaLuJurnPj-Lcny32sGw&oe=6A3EDEAA&_nc_sid=10d13b,18078630665418096,https://www.instagram.com/20000201a,https://www.instagram.com/p/DZvxCr_zUGG/c/18078630665418096
19,,hambaallah.2299,hambaallah.2299,2082714024,2026-06-19 09:29:05,0,"Ihhh gak tau malunya 🤣🤣🤣 orang libur masa iyaa mau di bawakan kerumahnya satu2 belum lagi masa iya mengusik waktu santai ibu guru, 1 tahun full loh ibu guru mengabdi waktunya bersantai sedikit sebelum murid baru mewarnai kembali sekolah.",no,https://instagram.fiev25-1.fna.fbcdn.net/v/t51.2885-19/425181782_260421897088638_8610162050149967466_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=cQmaVMD_3KYQ7kNvwEi0LNa&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af8WCrW6vrIpawxXhEeHQWed67Iu6ERNYDeW520XxyHd6w&oe=6A3EDBA4&_nc_sid=0985b0,18065916875459556,https://www.instagram.com/hambaallah.2299,https://www.instagram.com/p/DZvxCr_zUGG/c/18065916875459556
20,,donsyahdan,donsyahdan,58399428507,2026-06-19 09:48:06,0,Wkwkwkwk lagi lucu lucunya😂,no,https://instagram.fiev25-1.fna.fbcdn.net/v/t51.82787-19/588626279_17978350481948508_2607550325800448344_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=XysyVhzhNrIQ7kNvwG85feG&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af-nzKqzuaVh0dAt70VYcMuZ5Xrh964-knyDMO8caME1QA&oe=6A3EE7E5&_nc_sid=0985b0,18376984072204469,https://www.instagram.com/donsyahdan,https://www.instagram.com/p/DZvxCr_zUGG/c/18376984072204469
